state	joint	prior	likelihood	rootHeight	age(root)	treeLength	ebds.birthRate1	ebds.birthRate2	ebds.birthRate3	ebds.deathRate1	ebds.deathRate2	ebds.deathRate3	ebds.samplingRate1	ebds.samplingRate2	ebds.samplingRate3	ebds.origin	birthRateAtPresent	birthRateDelta1	birthRateDelta2	deathRateAtPresent	deathRateDelta1	deathRateDelta2	samplingRateAtPresent	samplingRateDelta1	samplingRateDelta2	birthRateDeltaPrior.globalScale	birthRateDeltaPrior.localScale1	birthRateDeltaPrior.localScale2	samplingRateDeltaPrior.globalScale	samplingRateDeltaPrior.localScale1	samplingRateDeltaPrior.localScale2	effectiveReproductiveNumber1	effectiveReproductiveNumber2	effectiveReproductiveNumber3	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	birthDeathLikelihood
10000	-66418.8737047427	786.6772003626509	-67205.55090510535	0.5202412987725408	2020.4770264607903	170.94572644861944	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.4491457737436617	1.4491457737436617	1.4491457737436617	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.37097426127609934	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.11376109024929548	1.0	1.0	0.015456657103824961	1.0	1.0	0.3001026731308348	0.3033776732141728	0.32581628193123013	6.520076838684663	0.25166937063766176	0.24610769365999274	0.2443429652518678	0.25787997045047767	4.965935429429427E-4	4.965935429429437E-4	-67205.55090510535	0.0	1126.4470951651556
20000	-64020.42550544888	682.2388265588461	-64702.66433200773	0.5165666188503883	2020.4807011407124	186.32496676666324	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.4327777811764026	1.4327777811764026	1.4327777811764026	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3596150643691418	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.11938520263640029	1.0	1.0	0.13312135224099894	1.0	1.0	0.3008542320929351	0.3041376032237176	0.32666275464105976	6.345037033661548	0.2599170188234823	0.23613533753865137	0.24221670700458045	0.2617309366332859	4.084804768163569E-4	4.0848047681635687E-4	-64702.66433200773	0.0	1024.1480341425488
30000	-62243.92809101376	630.0507902151975	-62873.978881228955	0.5165666188503883	2020.4807011407124	193.63720576794256	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.4327777811764026	1.4327777811764026	1.4327777811764026	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3596150643691418	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.04816678914947847	1.0	1.0	0.5109294184019256	1.0	1.0	0.3008542320929351	0.3041376032237176	0.32666275464105976	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798493E-4	-62873.978881228955	0.0	973.2793403760355
40000	-61885.098555541066	631.0028312569837	-62516.10138679805	0.5165666188503883	2020.4807011407124	193.84584657285546	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.3865468037812418	1.3865468037812418	1.3865468037812418	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3268163422881112	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.04816678914947847	1.0	1.0	0.21773303797748433	1.0	1.0	0.3029974673678528	0.3063047150245003	0.3290775262307968	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.670350179279855E-4	-62516.10138679805	0.0	979.1405821319597
50000	-61805.61651003904	627.1884958803028	-62432.80500591935	0.5165666188503883	2020.4807011407124	194.71911720835266	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.431876830840491	1.431876830840491	1.431876830840491	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3589860528563138	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.025590619317481855	1.0	1.0	0.08877088996147708	1.0	1.0	0.30089570978872804	0.3041795429328655	0.3267094751257911	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798514E-4	-62432.80500591935	0.0	966.203362273423
60000	-61709.537183097185	638.1120424852136	-62347.6492255824	0.5165666188503883	2020.4807011407124	193.1441506869661	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.431876830840491	1.431876830840491	1.431876830840491	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3589860528563138	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.025590619317481855	1.0	1.0	0.08877088996147708	1.0	1.0	0.30089570978872804	0.3041795429328655	0.3267094751257911	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798455E-4	-62347.6492255824	0.0	977.1303914558252
70000	-61612.11201782913	641.4211953953305	-62253.53321322446	0.5281192755231081	2020.4691484840398	192.61436921205234	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.4033084110099179	1.4033084110099179	1.4033084110099179	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.3388325994931254	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.03581016278807636	1.0	1.0	0.11652184426093404	1.0	1.0	0.30221689164033594	0.30551544256432983	0.3281979067704231	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.670350179279848E-4	-62253.53321322446	0.0	985.362804832161
80000	-61600.727127587306	641.7333449965313	-62242.460472583836	0.5281192755231081	2020.4691484840398	192.81683160656317	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.339499263862493	1.339499263862493	1.339499263862493	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.29229586044096667	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.03581016278807636	1.0	1.0	0.02991662315571697	1.0	1.0	0.305210136723745	0.3085420416503509	0.3315718795657291	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798466E-4	-62242.460472583836	0.0	993.8859257608896
90000	-61600.727127587306	641.7333449965313	-62242.460472583836	0.5281192755231081	2020.4691484840398	192.81683160656317	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.339499263862493	1.339499263862493	1.339499263862493	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.29229586044096667	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.03581016278807636	1.0	1.0	0.02991662315571697	1.0	1.0	0.305210136723745	0.3085420416503509	0.3315718795657291	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798466E-4	-62242.460472583836	0.0	993.8859257608896
100000	-61601.13610878548	641.324363798356	-62242.460472583836	0.5281192755231081	2020.4691484840398	192.81683160656317	1.9663388056510707	1.9873554921667904	2.0580449759824013	1.339499263862493	1.339499263862493	1.339499263862493	5.103074455210488	5.101618068273792	4.8674353491628715	0.5531238653410409	0.6761733393550946	0.010631517204122231	0.034951634832694894	0.29229586044096667	0.0	0.0	1.6298431924536403	-2.854347533221445E-4	-0.04699058166855726	0.03581016278807636	1.0	1.0	0.05643789946887667	1.0	1.0	0.305210136723745	0.3085420416503509	0.3315718795657291	6.482559184910928	0.2599170188234823	0.22885292616801506	0.24949911837521677	0.2617309366332859	3.6703501792798444E-4	3.6703501792798466E-4	-62242.460472583836	0.0	993.8859257608896
