# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10500000	-54464.97834	-2507.323546	-51957.65479	0.302312182	2020.694956	62.06838205	1335.056969	0.018612203	7.760657101	0.297291669	0.180853185	0.19051169	0.331343456	0.024894726	5.78E-04	5.78E-04	-51957.65479	0	-2497.911955
11000000	-54484.61038	-2527.282336	-51957.32804	0.323217727	2020.67405	63.30151191	871.4578822	0.020315215	8.257078783	0.294613702	0.178104865	0.194297095	0.332984337	0.108923563	5.67E-04	5.67E-04	-51957.32804	0	-2517.977413
11500000	-54421.85891	-2466.245065	-51955.61385	0.31364827	2020.683619	59.10324421	789.0274168	0.019851411	8.60451853	0.293071803	0.179901116	0.192572158	0.334454924	0.076461944	5.71E-04	5.71E-04	-51955.61385	0	-2457.025556
12000000	-54490.7047	-2539.488828	-51951.21588	0.324198249	2020.67307	62.30178488	1057.389974	0.019412033	8.043211062	0.296272292	0.176152062	0.191567462	0.336008184	0.016068406	5.53E-04	5.53E-04	-51951.21588	0	-2530.26258
12500000	-54538.47601	-2581.626147	-51956.84986	0.328951522	2020.668316	62.5947088	513.4064217	0.022862971	7.5397587	0.297673748	0.181876372	0.186487771	0.333962109	0.027735483	5.25E-04	5.25E-04	-51956.84986	0	-2573.107166
13000000	-54479.90612	-2533.992238	-51945.91388	0.33193542	2020.665332	61.11845741	552.3475984	0.022023084	9.408114843	0.291640519	0.179468869	0.194329615	0.334560997	0.050665599	5.48E-04	5.48E-04	-51945.91388	0	-2524.972891
13500000	-54568.84157	-2590.367311	-51978.47426	0.332843507	2020.664424	64.13789338	847.1301867	0.021118218	8.235657419	0.294249603	0.182290042	0.194290145	0.32917021	0.11839435	5.55E-04	5.55E-04	-51978.47426	0	-2581.056285
14000000	-54580.20702	-2623.896352	-51956.31067	0.344933008	2020.652335	65.54422483	815.8990389	0.021148965	7.979755335	0.29392513	0.179439082	0.190905101	0.335730687	0.102738933	5.18E-04	5.18E-04	-51956.31067	0	-2614.754963
14500000	-54506.62088	-2534.571775	-51972.0491	0.333259211	2020.664009	60.70003034	590.5136812	0.02186013	8.341480214	0.295532482	0.179004345	0.189904821	0.335558352	0.026105334	5.46E-04	5.46E-04	-51972.0491	0	-2525.749574
15000000	-54640.04851	-2678.660909	-51961.3876	0.335729198	2020.661539	67.33834579	987.9225054	0.021013304	8.014676306	0.295092492	0.177151309	0.19150553	0.336250669	0.073428353	4.87E-04	4.87E-04	-51961.3876	0	-2669.422504
15500000	-54538.38546	-2570.777409	-51967.60805	0.327470635	2020.669797	63.86075909	829.5733396	0.020888122	8.316451027	0.29378667	0.177790475	0.19150031	0.336922546	0.085188537	5.41E-04	5.41E-04	-51967.60805	0	-2561.560529
16000000	-54418.68551	-2466.312229	-51952.37328	0.332274697	2020.664993	58.79786569	593.1342895	0.021239136	7.665198095	0.295053327	0.179244331	0.192869037	0.332833304	0.046225703	6.13E-04	6.13E-04	-51952.37328	0	-2457.539763
16500000	-54506.87404	-2576.21929	-51930.65475	0.324701857	2020.672566	63.04929309	715.9498656	0.021490144	7.860108791	0.293175314	0.18213391	0.190276386	0.33441439	0.036576671	5.55E-04	5.55E-04	-51930.65475	0	-2567.301267
17000000	-54562.63835	-2597.046174	-51965.59218	0.349266804	2020.648001	63.09637026	502.6170569	0.023009845	8.703311954	0.29231792	0.183862416	0.185408261	0.338411403	0.006286708	5.26E-04	5.26E-04	-51965.59218	0	-2588.344827
17500000	-54527.1425	-2561.593009	-51965.54949	0.309669887	2020.687598	63.90852926	919.9105055	0.020378164	7.228837711	0.29562048	0.178612762	0.191680364	0.334086394	0.093559088	5.31E-04	5.31E-04	-51965.54949	0	-2552.520743
18000000	-54550.08536	-2560.847238	-51989.23812	0.326148603	2020.671119	63.28070759	825.5189681	0.020761678	7.033067248	0.29527403	0.178957064	0.188773527	0.336995378	0.025571796	5.06E-04	5.06E-04	-51989.23812	0	-2552.071059
