# BEAST v${version}${extra_release_tag}
# Generated Thu Jul 30 22:17:20 CEST 2026 [seed=1785442627552]
# -beagle_gpu -beagle_order 1 -overwrite EBOV_DRC_18-20.xml
state	HZ.coefficients1	HZ.coefficients2	HZ.coefficients3	HZ.coefIndicators1	HZ.coefIndicators2	HZ.coefIndicators3	HZ.coefficientsTimesIndicators1	HZ.coefficientsTimesIndicators2	HZ.coefficientsTimesIndicators3
1350000	-1.5313347649678841	0.37916516711350634	-1.1465475648763177	0.0	1.0	1.0	-0.0	0.37916516711350634	-1.1465475648763177
1400000	1.5680988591128606	2.7642207560809684	-1.1254933159565788	0.0	0.0	1.0	0.0	0.0	-1.1254933159565788
1450000	-2.586664114485605	0.5353039932772059	-1.0047995356236923	0.0	1.0	1.0	-0.0	0.5353039932772059	-1.0047995356236923
1500000	1.922780703768657	-1.5367981452115744	-1.0807009855608911	0.0	0.0	1.0	0.0	-0.0	-1.0807009855608911
1550000	-0.4172106682077799	0.45472865628302417	-1.101564212679051	0.0	1.0	1.0	-0.0	0.45472865628302417	-1.101564212679051
1600000	-1.5964434808882955	0.20580516974904467	-1.189280167016908	0.0	0.0	1.0	-0.0	0.0	-1.189280167016908
1650000	-1.9794268961337809	0.3488233854891225	-1.0686770030187558	0.0	1.0	1.0	-0.0	0.3488233854891225	-1.0686770030187558
1700000	-3.6024624616078738	0.4515211941743189	-1.067970680637303	0.0	1.0	1.0	-0.0	0.4515211941743189	-1.067970680637303
1750000	-0.021676040364913163	0.4070213960150447	-1.1210086212444788	1.0	1.0	1.0	-0.021676040364913163	0.4070213960150447	-1.1210086212444788
1800000	-1.1965275530910546	0.4161003919353214	-1.195739654093285	0.0	1.0	1.0	-0.0	0.4161003919353214	-1.195739654093285
1850000	-0.8344372367123956	0.03882843150439527	-1.1224651744095897	0.0	0.0	1.0	-0.0	0.0	-1.1224651744095897
1900000	1.5085551460951485	0.526063085819096	-1.1480327050026065	0.0	1.0	1.0	0.0	0.526063085819096	-1.1480327050026065
1950000	0.3980800672320945	0.3157367521263972	-1.082102426211556	0.0	1.0	1.0	0.0	0.3157367521263972	-1.082102426211556
2000000	0.4591312165321618	0.31252511742973227	-1.020166020331474	0.0	1.0	1.0	0.0	0.31252511742973227	-1.020166020331474
2050000	0.01083375023652561	0.49371557880027483	-1.0294797771646278	1.0	1.0	1.0	0.01083375023652561	0.49371557880027483	-1.0294797771646278
2100000	-1.2202503516148695	0.4489596249684355	-0.9409616890124166	0.0	1.0	1.0	-0.0	0.4489596249684355	-0.9409616890124166
2150000	-6.841447884914219	0.22891802766159486	-0.9231850141015814	0.0	1.0	1.0	-0.0	0.22891802766159486	-0.9231850141015814
2200000	-0.117302336142238	0.4976951268916383	-1.0881052457209388	0.0	1.0	1.0	-0.0	0.4976951268916383	-1.0881052457209388
2250000	-0.5940576991717725	0.4162424818816042	-1.1026729893759448	0.0	1.0	1.0	-0.0	0.4162424818816042	-1.1026729893759448
2300000	1.2675363402063031	0.5889370642406591	-1.0873011478936487	0.0	1.0	1.0	0.0	0.5889370642406591	-1.0873011478936487
2350000	0.3946811550937938	0.5264715043236048	-1.1058465311465426	0.0	1.0	1.0	0.0	0.5264715043236048	-1.1058465311465426
2400000	-4.439865317921616	0.5547455411448583	-1.0960212462502832	0.0	1.0	1.0	-0.0	0.5547455411448583	-1.0960212462502832
2450000	-1.6266493913334792	0.4074070263313048	-1.0755333971825702	0.0	1.0	1.0	-0.0	0.4074070263313048	-1.0755333971825702
2500000	-0.29485894355957143	0.3924627408029582	-1.0050803388594762	0.0	1.0	1.0	-0.0	0.3924627408029582	-1.0050803388594762
2550000	0.17424015526202608	0.18516793779237312	-1.2551375092902788	0.0	1.0	1.0	0.0	0.18516793779237312	-1.2551375092902788
2600000	1.482342267810696	0.6326429238719821	-1.1502568298222455	0.0	1.0	1.0	0.0	0.6326429238719821	-1.1502568298222455
2650000	5.0401663989096885	0.5834548406126676	-1.1248580481559036	0.0	0.0	1.0	0.0	0.0	-1.1248580481559036
2700000	2.9373511262314347	0.2880593130854789	-1.1376874190148714	0.0	0.0	1.0	0.0	0.0	-1.1376874190148714
2750000	0.7032655517527128	0.16422215206540927	-1.1267821494960732	0.0	1.0	1.0	0.0	0.16422215206540927	-1.1267821494960732
2800000	-1.5129284568900485	0.47441169082847806	-1.182412863556182	0.0	1.0	1.0	-0.0	0.47441169082847806	-1.182412863556182
2850000	-2.088290476651584	0.3364378843016961	-1.0177031092420064	0.0	1.0	1.0	-0.0	0.3364378843016961	-1.0177031092420064
2900000	0.6756558711474911	0.3241018378279416	-1.2415614164105284	0.0	0.0	1.0	0.0	0.0	-1.2415614164105284
2950000	-0.34720339327189353	0.40056822273803244	-1.0405884023657852	0.0	1.0	1.0	-0.0	0.40056822273803244	-1.0405884023657852
3000000	0.9173261415125866	0.33305101815106425	-1.1361173036185674	0.0	1.0	1.0	0.0	0.33305101815106425	-1.1361173036185674
3050000	-2.577324814424594	0.2930681626632762	-1.0241498331520833	0.0	1.0	1.0	-0.0	0.2930681626632762	-1.0241498331520833
3100000	0.3199624746087499	0.3818408138852123	-1.0202316292806815	0.0	1.0	1.0	0.0	0.3818408138852123	-1.0202316292806815
3150000	-2.111957131067045	0.336819593696523	-0.9955695652198433	0.0	1.0	1.0	-0.0	0.336819593696523	-0.9955695652198433
3200000	1.296856000939005	0.5329288771591542	-1.1647542643579878	0.0	1.0	1.0	0.0	0.5329288771591542	-1.1647542643579878
3250000	0.8216911277032528	0.3467435140924214	-1.0372551604761908	0.0	1.0	1.0	0.0	0.3467435140924214	-1.0372551604761908
3300000	-0.23211207821164076	0.3717311092808413	-1.0862772705250983	0.0	1.0	1.0	-0.0	0.3717311092808413	-1.0862772705250983
3350000	0.26008163280232555	0.43500122145040354	-1.0515781533877573	0.0	1.0	1.0	0.0	0.43500122145040354	-1.0515781533877573
3400000	-5.0832853740390185	-1.4056598525657535	-1.1912292359638463	0.0	0.0	1.0	-0.0	-0.0	-1.1912292359638463
3450000	-0.18178406434561212	0.33473917891339916	-1.1520994405090672	0.0	1.0	1.0	-0.0	0.33473917891339916	-1.1520994405090672
3500000	-0.31455812178372616	0.5249802714178067	-1.0828310405447699	0.0	1.0	1.0	-0.0	0.5249802714178067	-1.0828310405447699
3550000	-5.620635313539131	0.3898539258742709	-1.1436138261231656	0.0	1.0	1.0	-0.0	0.3898539258742709	-1.1436138261231656
3600000	-0.9122726109375108	0.3086170664534373	-1.1654694101176055	0.0	1.0	1.0	-0.0	0.3086170664534373	-1.1654694101176055
3650000	1.8510511796122722	0.5577054104399893	-1.1345477035877567	0.0	1.0	1.0	0.0	0.5577054104399893	-1.1345477035877567
3700000	-2.8540997278059024	0.44597915578654934	-1.1121952490648497	0.0	1.0	1.0	-0.0	0.44597915578654934	-1.1121952490648497
3750000	1.0602537857652452	2.12942599665973	-1.2763701647602788	0.0	0.0	1.0	0.0	0.0	-1.2763701647602788
3800000	-0.7288587889645827	0.41246126809201816	-1.1337315885292354	0.0	1.0	1.0	-0.0	0.41246126809201816	-1.1337315885292354
3850000	2.250106894346038	0.2412333089646516	-1.0404917319844138	0.0	1.0	1.0	0.0	0.2412333089646516	-1.0404917319844138
3900000	1.2981645555578218	0.5498220094785741	-1.1257019298724522	0.0	1.0	1.0	0.0	0.5498220094785741	-1.1257019298724522
3950000	-0.4461607471272795	0.3520990463753978	-1.0844712618876235	0.0	1.0	1.0	-0.0	0.3520990463753978	-1.0844712618876235
4000000	-0.7609828113228627	0.3849699842288436	-0.930627118259902	0.0	1.0	1.0	-0.0	0.3849699842288436	-0.930627118259902
