# BEAST v1.8.3
# Generated Wed Jul 26 13:02:49 BST 2017 [seed=1501070568031]
# -beagle IVA_PB1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(human)	tmrca(swine)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	human.rate	swine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-158198.2603059819	-634.8919761262888	-157563.3683298556	92.70421822157238	90.97318197856565	77.09521803583402	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	0.001	0.001	0.5381840595268149	0.8419015771068225	0.9875123439946079	-157563.3683298556	0.0	-368.14050837226307
1000	-69963.72475667484	-338.2023554660951	-69625.52240120874	91.11249023778201	90.58800006352469	77.69797107125308	3.3329403747980417	8.351254348539102	0.2591603253654246	0.2596859888621197	0.22351642990128134	0.2576372558711744	0.1859094158616667	0.0028880982296190585	0.0030715240148624975	0.0875498959676577	0.8205630770191237	0.9875213780721411	-69625.52240120874	0.0	-283.13550075552905
2000	-47954.862655762074	-433.67271681939894	-47521.189938942676	93.28073162411354	91.9520250864894	81.44754747371132	11.824667160023177	13.327453388263503	0.2633549439253481	0.26859424692423056	0.20539592605408025	0.2626548830963412	0.018392558780449954	0.0019348467123814967	0.0022497711643715574	0.009999006719802285	0.6925536870770014	0.9876866690861872	-47521.189938942676	0.0	-421.5650848420953
3000	-43354.93316932059	-441.11433630331686	-42913.81883301727	93.28073162411354	92.83768914236644	80.57277892333946	12.383386285949065	11.949710018294976	0.28566821501786405	0.2514597277186919	0.19704675210373335	0.2658253051597108	0.015034732401304908	0.001698705176610313	0.002265695266573395	0.008452919489067588	0.671671607077791	0.9879048795199527	-42913.81883301727	0.0	-430.4902467517984
4000	-40924.08864582043	-436.5800633379554	-40487.50858248248	93.28073162411354	91.16382504254737	80.57277892333946	11.634375208031607	11.949710018294976	0.2860582635561656	0.237685486271527	0.2064562335370786	0.2698000166352289	0.013090102829982025	0.0018540598293768865	0.002296888826199792	0.007637969233255459	0.6397416800219791	0.9878755808284376	-40487.50858248248	0.0	-426.89345191416055
5000	-38904.19983743367	-446.97014237803336	-38457.229695055634	93.28073162411354	91.33067452616861	80.57277892333946	12.400248654009367	12.609070093157277	0.3011421294752479	0.21746176828394065	0.20365420572025283	0.2777418965205587	0.011248086042837975	0.0016268924266403411	0.002239523591415326	0.006847201205681682	0.6256195560785011	0.9881072227498727	-38457.229695055634	0.0	-438.02021515412764
6000	-37749.27574168053	-452.10540665627576	-37297.17033502425	93.28073162411354	91.95548269385327	80.59017016971879	14.375412149636796	12.848617388926993	0.30103588642663104	0.22027006337376023	0.20054749787095624	0.27814655232865254	0.010730147230452569	0.0017595350541684213	0.002350518888207167	0.006866324191423927	0.6033847295580845	0.9881285683932756	-37297.17033502425	0.0	-443.0031210223032
7000	-37076.054789519956	-454.2827548246595	-36621.7720346953	93.81605191656894	92.34510250339189	80.59017016971879	15.023765849164125	12.722491621031347	0.30828836327497117	0.21065181656386647	0.2080242230957408	0.2730355970654216	0.008986720899550608	0.001701374254996156	0.002327530768531786	0.006028575813419109	0.5685455165673485	0.9883250774992567	-36621.7720346953	0.0	-446.0766327560498
8000	-36472.80209153448	-473.41440356079653	-35999.387687973685	93.81605191656894	92.34510250339189	80.57985157116177	13.439280547722769	12.920666816175531	0.3078423320059554	0.20554690769906037	0.20825876079584515	0.2783519994991391	0.00878746299986041	0.0016053672200531967	0.002125118872143902	0.005914702226432678	0.5807216413915645	0.9881916611442803	-35999.387687973685	0.0	-465.31385299029347
9000	-34783.07234051849	-493.17767540806784	-34289.89466511042	94.43885421126686	92.58234437866595	80.57985157116177	21.078667791987417	13.59901439634088	0.3173801380033331	0.19960768137331408	0.20553051729807495	0.27748166332527785	0.007248367927351629	0.0015545146299674603	0.002238218724523324	0.005137416262727674	0.5309572339745843	0.9886682643901668	-34289.89466511042	0.0	-485.19153041731494
10000	-34166.75895067113	-519.0362252554793	-33647.72272541565	95.07533453133154	94.18264092241627	82.56018226703794	23.623663987553332	13.59901439634088	0.31086609154330563	0.209858630124812	0.21185960904420423	0.26741566928767807	0.006087944281382626	0.0014138039688836156	0.0021340560061334736	0.004424260253820765	0.5028796027371835	0.9890209240560213	-33647.72272541565	0.0	-511.54795027063483
