state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	doublingTime	R0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
500000	-54523.970630727694	-2529.207926963337	-51994.762703764354	0.31444935848085476	2020.682818401082	64.07993403270231	1233.5307012702854	36.53811040812648	6.924242060643353	1.76507629994916	6.598944185973292	0.29269734889551985	0.17705454418893016	0.19519508030972174	0.33505302660582664	0.029504433042309774	5.397180707975838E-4	5.397180707975828E-4	-51994.762703764354	0.0	-2512.666631613623
1000000	-54460.72793999846	-2491.190537114674	-51969.53740288379	0.3191597449228744	2020.67810801464	59.78375896558971	704.8032042558245	33.837954076643065	7.476773575947801	1.7001083372571844	7.410745592211082	0.2941861993093205	0.1791537407999515	0.19172596455737645	0.33493409533334983	0.07673248469570751	5.800924082268793E-4	5.800924082268781E-4	-51969.53740288379	0.0	-2475.4126231195064
1500000	-54501.23718838527	-2515.284057097203	-51985.953131288064	0.31243286339365245	2020.6848348961691	62.873166350435845	1167.4314927860535	36.46526747488626	6.938073910430549	1.7633055756198905	8.041498521321367	0.2920800575579062	0.18108579042633347	0.19274343187148146	0.33409072014427704	0.05198770176721477	5.667777566331084E-4	5.667777566331081E-4	-51985.953131288064	0.0	-2498.462190196628
2000000	-54569.34017570947	-2613.096060956067	-51956.244114753405	0.3283691884065632	2020.6688985711562	64.00634107399387	743.8139111236263	32.37509118787689	7.814610295186362	1.6654840706963832	8.567252060705773	0.29540625026050876	0.1840532924942688	0.19011365430587984	0.3304268029393408	0.035605259242960784	5.251517885439319E-4	5.251517885439311E-4	-51956.244114753405	0.0	-2597.1623143778684
2500000	-54537.864343624395	-2584.0158619256977	-51953.8484816987	0.3368647862582189	2020.6604029733046	63.502943648633796	785.9684290712172	33.12255675901895	7.638260619343371	1.6831254676765794	7.958502021880574	0.2992630849842363	0.1808054384177003	0.1894392236643237	0.3304922529337378	0.029501285057758477	5.565696118646716E-4	5.565696118646709E-4	-51953.8484816987	0.0	-2568.0810110963375
3000000	-54500.92313032969	-2554.2633189548137	-51946.65981137488	0.33165405441124535	2020.6656137051516	62.59927468018038	827.2490689475236	33.764997720239506	7.492928712763598	1.6983720131684152	7.248668576679213	0.2926214936087129	0.1795143951956356	0.1908071885452025	0.33705692265044696	0.04935805542736636	5.588666993730141E-4	5.588666993730148E-4	-51946.65981137488	0.0	-2538.3359047309623
3500000	-54468.82097525908	-2484.481746205674	-51984.3392290534	0.3181753988082589	2020.6790923607546	60.60259939645531	694.4544581467858	33.590148594182956	7.531932173357329	1.694214768972236	7.474111250529985	0.2954613650034039	0.18044453370725946	0.18817592225838828	0.3359181790309461	0.030229985183682414	5.948972592976628E-4	5.948972592976617E-4	-51984.3392290534	0.0	-2468.8032678694294
4000000	-54607.55829941572	-2656.2542055403105	-51951.30409387541	0.34026465673981754	2020.657003102823	66.00383385548484	819.1469205014156	32.043056161955725	7.895586476696998	1.657681149679142	8.341083355255234	0.29587351351706553	0.1809412460533583	0.19072409139265017	0.332461149036924	0.01926334918754796	4.95646628057552E-4	4.956466280575519E-4	-51951.30409387541	0.0	-2640.276110500739
4500000	-54742.29802979093	-2779.988451371067	-51962.30957841987	0.35695401940620686	2020.6403137401567	70.39506055573285	767.4527194946327	30.200000072178554	8.37744106952677	1.6147443914140565	8.354221028647448	0.2926432073825379	0.18100807912414307	0.1948552309267715	0.33149348256654554	0.06164926891441457	4.6907408392991303E-4	4.6907408392991314E-4	-51962.30957841987	0.0	-2764.1175771973863
5000000	-54722.83551042012	-2730.3941222024528	-51992.44138821767	0.3331615050239132	2020.6641062545389	68.92829667799994	689.018385342726	30.066446360739864	8.414653260610821	1.6116577560778602	6.842396623793506	0.2914928777157413	0.18242968846397614	0.19075251111750657	0.33532492270277386	0.024610438365787447	5.196903340712974E-4	5.196903340712988E-4	-51992.44138821767	0.0	-2715.0505552549703
5500000	-54506.84506246397	-2537.8053749223554	-51969.03968754162	0.3015651586259808	2020.6957026009368	62.5269547470902	744.8403104421731	33.18264596976831	7.624428779274546	1.6845482280779216	7.202802951153905	0.2961051313293526	0.17698305687275528	0.19071279789921614	0.3361990138986736	0.00914374547613262	5.455308184224042E-4	5.455308184224046E-4	-51969.03968754162	0.0	-2522.174143943434
6000000	-54498.8742347129	-2528.4007999694004	-51970.4734347435	0.3248666144675279	2020.6724011450954	60.9917858265119	610.6241583916122	32.39566045249969	7.809648495215608	1.6659681349378235	7.943886226430304	0.2986954599421764	0.17724141328500106	0.1894435174699035	0.3346196093029167	0.08727335107818138	5.610348603854301E-4	5.610348603854292E-4	-51970.4734347435	0.0	-2512.7652580386284
6500000	-54404.079053229674	-2436.693876824209	-51967.38517640546	0.3251616244426191	2020.6721061351202	58.697245593428036	721.513041098642	34.95228311794297	7.238403284004688	1.7267533577887986	7.7200680519433185	0.2918492790130055	0.17752946242892348	0.1946747309517503	0.33594652760631877	0.04181513842945191	5.621632620938621E-4	5.62163262093862E-4	-51967.38517640546	0.0	-2420.875070713643
7000000	-54355.9192385051	-2351.9465643077133	-52003.97267419739	0.3066960206049402	2020.690571738958	56.82031832656358	838.9332558784456	36.625678854411646	6.907686869369951	1.767206311892473	9.457826374389283	0.29155014079674735	0.17947548683444123	0.19209370123560665	0.3368806711332028	0.04837432826516304	6.15815263650423E-4	6.158152636504224E-4	-52003.97267419739	0.0	-2335.414200294056
7500000	-54491.58153753173	-2507.911170198488	-51983.670367333245	0.3025298262963364	2020.6947379332664	61.15368826903882	998.6368971656398	35.9073218255748	7.0458811195488	1.7497758463179178	7.088884382633518	0.28863028581261385	0.17808362182144047	0.19380366073804317	0.3394824316279006	0.13095537720265787	5.478358272223474E-4	5.478358272223471E-4	-51983.670367333245	0.0	-2491.4755441857938
8000000	-54415.60644152479	-2451.787535404051	-51963.81890612074	0.33289853185324964	2020.6643692277096	60.49216951003239	894.6430871583866	35.416188838659	7.143589674680523	1.7379149292299558	7.261867659174156	0.2939697023606102	0.17921625586117546	0.19024001696169954	0.33657402481651283	0.15870555475127512	5.613480781740629E-4	5.613480781740633E-4	-51963.81890612074	0.0	-2435.458009766844
8500000	-54470.07080619972	-2537.8453411216647	-51932.22546507806	0.313809012185475	2020.6834587473775	60.73752962590223	547.0852956619918	31.481749177334894	8.036361622705673	1.6445372888052419	9.341123217759966	0.29281742316153636	0.1778429123370319	0.19278300706830814	0.33655665743312146	0.03155279174689471	5.479142313354206E-4	5.479142313354209E-4	-51932.22546507806	0.0	-2522.2327407636776
9000000	-54541.08106687881	-2570.549582331553	-51970.53148454726	0.32283212848211307	2020.6744356310808	61.601111745952196	550.6242238493151	31.35368274351124	8.0691867355435	1.6415466907199217	7.353069220525711	0.2928043450431126	0.1795088677824465	0.19116767255047346	0.33651911462396544	0.06583103231250094	5.521607106556747E-4	5.521607106556768E-4	-51970.53148454726	0.0	-2555.272234416513
9500000	-54534.72497639469	-2546.887375567467	-51987.837600827224	0.32143460833420556	2020.6758331512287	62.26509982467479	735.3346390003937	32.945212905177186	7.679377323575362	1.6789303704831973	8.183260215083767	0.29909060660118314	0.17743435281253195	0.1850254786929541	0.3384495618933288	0.14492922289855065	5.193165804188156E-4	5.193165804188175E-4	-51987.837600827224	0.0	-2530.8211604523326
10000000	-54579.082847455145	-2597.4976042868393	-51981.58524316831	0.31000729497222046	2020.6872604645907	64.9856672888149	1088.1154670555757	35.23315681432723	7.18069976634908	1.7335063300325313	9.153839268577867	0.2962698531554476	0.18009321500024686	0.1907119946954292	0.3329249371488742	0.10679687475482125	5.385727401313496E-4	5.385727401313489E-4	-51981.58524316831	0.0	-2580.545863803114
10500000	-54642.005526394205	-2669.117307562931	-51972.88821883127	0.30625814168209553	2020.6910096178808	67.15701847760798	1148.5225834698779	34.00389347165761	7.440286834072561	1.7040613402844575	7.477008380656362	0.29449244042051576	0.17891777352993696	0.19198589213178954	0.33460389391775575	0.026816536712193403	5.203561595631015E-4	5.203561595631015E-4	-51972.88821883127	0.0	-2652.603602276694
11000000	-54616.30730527667	-2594.642770645607	-52021.66453463106	0.29818426011506105	2020.6990834994479	64.8887264247655	1083.0933293761148	34.68833476429352	7.293481299217757	1.7204208745568292	8.193503581626956	0.29765974709367116	0.17996892188413244	0.19107089318571668	0.33130043783647783	0.017101101170740853	5.076290457002138E-4	5.076290457002156E-4	-52021.66453463106	0.0	-2578.1094382379615
11500000	-54472.04571355652	-2499.2316169078913	-51972.81409664863	0.33188987811608894	2020.6653778814468	59.85634537815993	492.5193168209927	30.948802694393002	8.174749873287208	1.6321121681719226	8.363193235605106	0.29730249943165404	0.17573859659735366	0.19323164086970082	0.33372726310128936	0.04508428627475388	5.911343002961377E-4	5.911343002961382E-4	-51972.81409664863	0.0	-2483.903480924642
12000000	-54519.58664603805	-2558.1220751758246	-51961.46457086223	0.336462570338216	2020.6608051892247	62.90232644573003	876.6353187041818	33.971733961769594	7.447330218383745	1.7032948325928106	8.689948123337146	0.29208877906725694	0.17939288662899056	0.19608334070662553	0.332434993597125	0.04450467615854473	5.259296734882834E-4	5.259296734882825E-4	-51961.46457086223	0.0	-2541.8239654654367
