taxon	HZ
BTB933|Katwa|2018-11-23	Katwa
BTB957|Katwa|2018-11-23	Katwa
BTB1121|Katwa|2018-11-25	Katwa
BTB1138|Katwa|2018-11-28	Katwa
BTB1284|Katwa|2018-12-02	Katwa
BTB1502|Katwa|2018-12-06	Katwa
BTB2485|Butembo|2018-12-29	Butembo
BTB2558|Katwa|2019-01-01	Katwa
BTB2565|Katwa|2019-01-01	Katwa
BTB2640|Katwa|2019-01-03	Katwa
BTB2696|Katwa|2019-01-04	Katwa
BTB2749|Katwa|2019-01-05	Katwa
BTB2869|Katwa|2019-01-07	Katwa
BTB2996|Butembo|2019-01-09	Butembo
BTB3104|Katwa|2019-01-10	Katwa
BTB3177|Katwa|2019-01-12	Katwa
BTB3207|Butembo|2019-01-12	Butembo
BTB3223|Katwa|2019-01-12	Katwa
BTB3324|Katwa|2019-01-14	Katwa
BTB3382|Katwa|2019-01-15	Katwa
BTB3787|Katwa|2019-01-21	Katwa
BTB3832|Manguredjipa|2019-01-22	Manguredjipa
BTB3973|Biena|2019-01-23	Biena
BTB4302|Katwa|2019-01-27	Katwa
BTB4325|Katwa|2019-01-28	Katwa
BTB4376|Unknown|2019-01-29	?
BTB4414|Katwa|2019-01-29	Katwa
BTB4690|Kalunguta|2019-02-01	Kalunguta
BTB4836|Kalunguta|2019-02-03	Kalunguta
BTB5015|Kalunguta|2019-02-05	Kalunguta
BTB5199|Katwa|2019-02-08	Katwa
BTB5307|Vuhovi|2019-02-09	Vuhovi
BTB5348|Katwa|2019-02-10	Katwa
BTB5415|Butembo|2019-02-11	Butembo
BTB5555|Butembo|2019-02-11	Butembo
BTB5580|Katwa|2019-02-15	Katwa
BTB5671|Vuhovi|2019-02-15	Vuhovi
BTB6040|Katwa|2019-02-19	Katwa
BTB6236|Katwa|2019-02-25	Katwa
BTB6375|Katwa|2019-02-27	Katwa
BTB6848|Katwa|2019-03-08	Katwa
BTB6880|Butembo|2019-03-09	Butembo
BTB6881|Butembo|2019-03-09	Butembo
BTB6908|Biena|2019-03-09	Biena
BTB6946|Butembo|2019-03-10	Butembo
BTB7019|Kalunguta|2019-03-12	Kalunguta
BTB7091|Katwa|2019-03-13	Katwa
BTB7117|Kayna|2019-03-15	Kayna
BTB8385|Vuhovi|2019-03-31	Vuhovi
BTB8497|Butembo|2019-04-02	Butembo
BTB9114|Musienene|2019-04-09	Musienene
BTB9406|Vuhovi|2019-04-13	Vuhovi
BTB9463|Katwa|2019-04-12	Katwa
BTB9620|Butembo|2019-04-16	Butembo
BTB17389|Kalunguta|2019-06-27	Kalunguta
BTB17576|Lubero|2019-06-28	Lubero
BTB17917|Vuhovi|2019-06-30	Vuhovi
BTB18181|Butembo|2019-07-03	Butembo
BTB18344|Butembo|2019-07-04	Butembo
BTB20024|Butembo|2019-07-19	Butembo
BTB20065|Masereka|2019-07-18	Masereka
BTB20304|Kalunguta|2019-07-21	Kalunguta
BTB20484|Vuhovi|2019-07-23	Vuhovi
BTB20594|Kayna|2019-07-24	Kayna
BTB21005|Kalunguta|2019-07-28	Kalunguta
BTB21235|Vuhovi|2019-07-29	Vuhovi
BTB21371|Butembo|2019-07-31	Butembo
BTB21457|Masereka|2019-08-01	Masereka
BTB21628|Kalunguta|2019-08-03	Kalunguta
BTB21678|Mandima|2019-08-03	Mandima
BTB21753|Butembo|2019-08-04	Butembo
BTB21835|Masereka|2019-08-04	Masereka
BTB22334|Kalunguta|2019-08-09	Kalunguta
BTB22499|Katwa|2019-08-10	Katwa
BTB22545|Butembo|2019-08-11	Butembo
BUN058|Oicha|2018-12-17	Oicha
BUN059|Oicha|2018-12-17	Oicha
BUN076|Komanda|2018-12-28	Komanda
BUN396|Bunia|2019-03-18	Bunia
BUN1349|Bunia|2019-06	Bunia
BUN1361|Rwampara|2019-06-16	Rwampara
BUN1416|Rwampara|2019-06-21	Rwampara
BUN1438|Rwampara|2019-06-22	Rwampara
BUN1492|Rwampara|2019-06-26	Rwampara
BUN1572|Ariwara|2019-06-30	Ariwara
GOM1887|Goma|2019-07-14	Goma
GOM2154|Nyiragongo|2019-07-30	Nyiragongo
GOM2184|Nyiragongo|2019-07-31	Nyiragongo
GOM2466|Mwenga|2019-08-15	Mwenga
GOM2467|Mwenga|2019-08-15	Mwenga
GOM2505|Mwenga|2019-08-17	Mwenga
KAT060|Katwa|2019-01-20	Katwa
KAT086|Katwa|2019-01-21	Katwa
KAT092|Katwa|2019-01-21	Katwa
KAT130|Katwa|2019-01-23	Katwa
KAT253|Katwa|2019-01-28	Katwa
KAT665|Katwa|2019-02-10	Katwa
KAT1274|Katwa|2019-02-23	Katwa
KAT1428|Katwa|2019-03-05	Katwa
KAT1999|Katwa|2019-03-27	Katwa
KAT2012|Katwa|2019-03-27	Katwa
KAT2188|Katwa|2019-04-01	Katwa
KAT2291|Katwa|2019-04-04	Katwa
KAT2375|Katwa|2019-04-05	Katwa
KAT2426|Katwa|2019-04-06	Katwa
KAT2573|Katwa|2019-04-09	Katwa
KAT2575|Vuhovi|2019-04-09	Vuhovi
KAT2578|Katwa|2019-04-09	Katwa
KAT2579|Katwa|2019-04-09	Katwa
KAT2596|Katwa|2019-04-09	Katwa
KAT2597|Katwa|2019-04-09	Katwa
KAT2603|Katwa|2019-04-09	Katwa
KAT2612|Butembo|2019-04-10	Butembo
KAT2645|Katwa|2019-04-10	Katwa
KAT2646|Katwa|2019-04-10	Katwa
KAT2655|Katwa|2019-04-11	Katwa
KAT2658|Katwa|2019-04-11	Katwa
KAT2672|Vuhovi|2019-04-11	Vuhovi
KAT2674|Beni|2019-04-11	Beni
KAT2677|Katwa|2019-04-11	Katwa
KAT2687|Katwa|2019-04-11	Katwa
KAT2689|Katwa|2019-04-11	Katwa
KAT2690|Katwa|2019-04-11	Katwa
KAT2771|Katwa|2019-04-13	Katwa
KAT2844|Katwa|2019-04-14	Katwa
KAT3095|Katwa|2019-04-19	Katwa
KAT3168|Katwa|2019-04-21	Katwa
KAT3180|Katwa|2019-04-20	Katwa
KAT3181|Katwa|2019-04-20	Katwa
KAT3205|Vuhovi|2019-04-21	Vuhovi
KAT3249|Katwa|2019-04-22	Katwa
KAT3251|Katwa|2019-04-23	Katwa
KAT4502|Katwa|2019-05-20	Katwa
KAT4539|Katwa|2019-05-21	Katwa
KAT4558|Butembo|2019-05-21	Butembo
