taxon	HZ
KOM3450|Mambasa|2019-09-26	Mambasa
BEN33816|Beni|2019-09-20	Beni
BEN33818|Beni|2019-09-20	Beni
BEN33819|Beni|2019-09-20	Beni
BEN33820|Beni|2019-09-20	Beni
BEN35973|Oicha|2019-10-07	Oicha
BEN47083|Beni|2020-01-18	Beni
BEN47225|Beni|2020-01-19	Beni
BEN47296|Beni|2020-01-20	Beni
BEN47371|Beni|2020-01-20	Beni
KAT22664|Butembo|2020-01-11	Butembo
MAN10300|Mabalako|2019-10-28	Mabalako
MAN10900|Mabalako|2019-11-06	Mabalako
MAN11533|Mabalako|2019-11-17	Mabalako
MAN11742|Mabalako|2019-11-21	Mabalako
MAN12168|Mabalako|2019-11-30	Mabalako
MAN12999|Mabalako|2019-12-18	Mabalako
MAN13030|Mabalako|2019-12-19	Mabalako
MAN13677|Mabalako|2019-12-31	Mabalako
MAN14285|Mabalako|2020-01-14	Mabalako
MAN9267|Mandima|2019-10-03	Mandima
BEN36706|Kalunguta|2019-10-12	Kalunguta
BEN36708|Mandima|2019-10-12	Mandima
BEN36761|Kalunguta|2019-10-13	Kalunguta
BEN36864|Mandima|2019-10-13	Mandima
BEN37188|Mandima|2019-10-16	Mandima
BEN39113|Beni|2019-10-29	Beni
BEN42626|Beni|2019-12-08	Beni
BEN42629|Beni|2019-12-08	Beni
BEN46737|Beni|2020-01-15	Beni
BEN46754|Beni|2020-01-15	Beni
BEN46848|Beni|2020-01-16	Beni
MAN13942|Mabalako|2020-01-06	Mabalako
MAN14231|Mabalako|2020-01-13	Mabalako
MAN14242|Mabalako|2020-01-13	Mabalako
MAN14243|Mabalako|2020-01-13	Mabalako
MAN8619|Mandima|2019-09-20	Mandima
MAN8620|Mandima|2019-09-20	Mandima
MAN8622|Mandima|2019-09-20	Mandima
MAN8662|Mandima|2019-09-21	Mandima
MAN8665|Mandima|2019-09-21	Mandima
MAN8710|Mandima|2019-09-22	Mandima
BEN50212|Beni|2020-02-11	Beni
BEN13392|Beni|2019-04-12	Beni
BEN46488|Beni|2020-01-13	Beni
BEN46574|Beni|2020-01-14	Beni
MAN10315|Mabalako|2019-10-28	Mabalako
MAN10422|Mandima|2019-10-30	Mandima
MAN10423|Mandima|2019-10-30	Mandima
MAN10424|Mandima|2019-10-30	Mandima
MAN10449|Mandima|2019-10-31	Mandima
MAN10540|Mandima|2019-11-01	Mandima
MAN10684|Mabalako|2019-11-04	Mabalako
MAN10736|Mandima|2019-11-04	Mandima
MAN10762|Mabalako|2019-11-04	Mabalako
MAN13175|Mabalako|2019-12-21	Mabalako
MAN13464|Mabalako|2019-12-27	Mabalako
MAN8618|Mandima|2019-09-20	Mandima
MAN9566|Mandima|2019-10-11	Mandima
BEN50970|Beni|2020-02-17	Beni
BEN2413|Beni|2018-11-24	Beni
BTB1658|Kalunguta|2018-12-11	Kalunguta
BTB1736|Unknown|2018-12-13	?
BTB1794|Butembo|2018-12-15	Butembo
BTB2321|Katwa|2018-12-25	Katwa
BTB2739|Butembo|2019-01-05	Butembo
BTB922|Katwa|2018-11-23	Katwa
MAN1051|Mabalako|2018-12-12	Mabalako
MAN1080|Unknown|2018-12-16	?
MAN1098|Mabalako|2018-12-18	Mabalako
MAN1099|Mabalako|2018-12-18	Mabalako
MAN1159|Mabalako|2018-12-24	Mabalako
MAN1206|Mabalako|2018-12-30	Mabalako
MAN674|Mabalako|2018-10-31	Mabalako
MAN695|Beni|2018-11-03	Beni
MAN984|Mabalako|2018-12-03	Mabalako
MAN1146|Mabalako|2018-12-23	Mabalako
MAN1016|Mabalako|2018-12-08	Mabalako
MAN1014|Mabalako|2018-12-07	Mabalako
MAN1011|Mabalako|2018-12-05	Mabalako
MAN839|Unknown|2018-11-19	?
MAN823|Unknown|2018-11-18	?
MAN688|Beni|2018-11-03	Beni
BTB2046|Kalunguta|2018-12-19	Kalunguta
BTB1839|Unknown|2018-12-16	?
BTB1028|Butembo|2018-11-25	Butembo
BTB1007|Unknown|2018-11-24	?
BTB822|Katwa|2018-11-20	Katwa
BEN42330|Beni|2019-12-03	Beni
BTB1008|Unknown|2018-11-24	?
BTB1013|Unknown|2018-11-25	?
BTB1080|Vuhovi|2018-11-26	Vuhovi
BTB1684|Unknown|2018-12-12	?
BTB1685|Unknown|2018-12-12	?
BTB1746|Katwa|2018-12-14	Katwa
BTB1747|Kalunguta|2018-12-14	Kalunguta
BTB1810|Kalunguta|2018-12-15	Kalunguta
BTB1881|Katwa|2018-12-16	Katwa
BTB1993|Katwa|2018-12-18	Katwa
BTB2023|Katwa|2018-12-19	Katwa
BTB2051|Butembo|2018-12-19	Butembo
BTB832|Butembo|2018-11-20	Butembo
BTB870|Butembo|2018-11-21	Butembo
BTB893|Unknown|2018-11-22	?
BTB896|Katwa|2018-11-22	Katwa
BTB928|Katwa|2018-11-23	Katwa
MAN1152|Mabalako|2018-12-23	Mabalako
MAN1258|Mabalako|2019-01-06	Mabalako
BTB1145|Unknown|2018-11-28	?
BTB1242|Masereka|2018-12-01	Masereka
BTB1259|Beni|2018-12-02	Beni
BTB1674|Unknown|2018-12-12	?
BTB1840|Unknown|2018-12-16	?
BTB1877|Butembo|2018-12-16	Butembo
BTB2189|Katwa|2018-12-22	Katwa
BTB2194|Kalunguta|2018-12-22	Kalunguta
BTB2196|Katwa|2018-12-23	Katwa
BTB2205|Unknown|2018-12-23	?
BTB2327|Butembo|2018-12-25	Butembo
BTB2341|Kalunguta|2018-12-26	Kalunguta
BTB2348|Kalunguta|2018-12-26	Kalunguta
BTB2406|Katwa|2018-12-27	Katwa
BTB969|Kalunguta|2018-11-24	Kalunguta
BEN33857|Kalunguta|2019-09-20	Kalunguta
BEN34333|Oicha|2019-09-23	Oicha
BEN34468|Kalunguta|2019-09-24	Kalunguta
BEN35213|Komanda|2019-09-30	Komanda
MAN11853|Mabalako|2019-11-22	Mabalako
MAN12105|Mabalako|2019-11-27	Mabalako
MAN8854|Mandima|2019-09-25	Mandima
MAN8907|Mandima|2019-09-26	Mandima
MAN9067|Mandima|2019-09-30	Mandima
MAN9122|Mandima|2019-10-01	Mandima
MAN9539|Mandima|2019-10-10	Mandima
MAN9640|Mandima|2019-10-14	Mandima
MAN9962|Mandima|2019-10-22	Mandima
BTB29286|Kalunguta|2019-09-29	Kalunguta
MAN10700|Mabalako|2019-11-03	Mabalako
MAN12847|Mabalako|2019-12-15	Mabalako
MAN12899|Mabalako|2019-12-16	Mabalako
MAN13229|Mabalako|2019-12-22	Mabalako
MAN9800|Mandima|2019-10-18	Mandima
BEN34337|Komanda|2019-09-23	Komanda
MAN12014|Mabalako|2019-11-25	Mabalako
MAN12162|Mandima|2019-11-29	Mandima
MAN14193|Mabalako|2020-01-12	Mabalako
MAN14263|Mabalako|2020-01-14	Mabalako
MAN8691|Mandima|2019-09-20	Mandima
BTB1390|Katwa|2018-12-05	Katwa
BTB1398|Butembo|2018-12-05	Butembo
BTB1410|Katwa|2018-12-06	Katwa
BTB1481|Butembo|2018-12-07	Butembo
BTB1522|Butembo|2018-12-08	Butembo
BEN55530|Beni|2020-04-10	Beni
BEN55619|Beni|2020-04-12	Beni
BEN55665|Beni|2020-04-13	Beni
BEN55815|Beni|2020-04-16	Beni
BEN55850|Beni|2020-04-17	Beni
BEN55737|Beni|2020-04-15	Beni
BEN56534|Beni|2020-04-27	Beni
BEN21033|Beni|2019-06-26	Beni
BEN22639|Beni|2019-07-08	Beni
BEN20822|Beni|2019-06-25	Beni
BEN23697|Beni|2019-07-16	Beni
BEN24348|Beni|2019-07-19	Beni
BEN24640|Beni|2019-07-21	Beni
BEN25101|Beni|2019-07-23	Beni
BEN25704|Beni|2019-07-26	Beni
BEN28142|Beni|2019-08-10	Beni
BTB26602|Kayna|2019-09-10	Kayna
BTB27289|Kayna|2019-09-14	Kayna
BTB27764|Kayna|2019-09-18	Kayna
MAN5078|Mabalako|2019-07-02	Mabalako
MAN5602|Mabalako|2019-07-13	Mabalako
MAN5940|Mandima|2019-07-19	Mandima
MAN5973|Mandima|2019-07-19	Mandima
MAN6105|Mandima|2019-07-21	Mandima
MAN6173|Mandima|2019-07-23	Mandima
MAN6208|Mandima|2019-07-23	Mandima
MAN6566|Mandima|2019-07-30	Mandima
BEN22364|Beni|2019-07-06	Beni
BEN22632|Beni|2019-07-08	Beni
BEN22643|Beni|2019-07-08	Beni
BEN22653|Beni|2019-07-08	Beni
BEN23438|Beni|2019-07-14	Beni
BEN23744|Beni|2019-07-16	Beni
BEN23856|Beni|2019-07-17	Beni
BEN23895|Beni|2019-07-17	Beni
BEN24739|Beni|2019-07-21	Beni
BEN24751|Beni|2019-07-21	Beni
BEN25515|Beni|2019-07-25	Beni
BEN25705|Beni|2019-07-27	Beni
BEN26260|Beni|2019-07-29	Beni
BEN27614|Beni|2019-08-07	Beni
BEN28454|Beni|2019-08-12	Beni
BEN28455|Beni|2019-08-12	Beni
BEN30737|Beni|2019-08-29	Beni
BEN32140|Beni|2019-09-09	Beni
MAN5750|Mandima|2019-07-08	Mandima
MAN6448|Mandima|2019-07-21	Mandima
BEN28238|Beni|2019-08-11	Beni
BEN28389|Beni|2019-08-12	Beni
BEN28552|Beni|2019-08-13	Beni
BEN28680|Beni|2019-08-14	Beni
20FHV036|Mabalako|2020-06-26	Mabalako
20FHV037|Mabalako|2020-06-26	Mabalako
20FHV039|Mabalako|2020-06-26	Mabalako
MAN5036|Butembo|2019-07-02	Butembo
BTB27173|Biena|2019-09-14	Biena
BTB27307|Biena|2019-09-15	Biena
KAT7082-INRB-010241|Beni|2019-07-07	Beni
BEN21070-INRB-000295d|Beni|2019-06-27	Beni
BEN22245-INRB|Beni|2019-07-06	Beni
BEN22269-INRB-008893|Beni|2019-07-06	Beni
BEN22270-INRB-008894|Beni|2019-07-06	Beni
BEN22819-INRB-009306|Beni|2019-07-10	Beni
BEN22987-INRB-009291|Beni|2019-07-11	Beni
BEN23056-INRB-009132|Beni|2019-07-11	Beni
BEN23669-INRB-009102|Beni|2019-07-15	Beni
BEN24281-INRB-005373|Beni|2019-07-19	Beni
BEN24282-INRB-005374|Beni|2019-07-19	Beni
BEN24283-INRB-005659|Beni|2019-07-19	Beni
BEN24419-INRB-002269|Beni|2019-07-20	Beni
BEN24449-INRB|Beni|2019-07-20	Beni
BEN24746-INRB-009274|Beni|2019-07-21	Beni
BEN24801-INRB-009276|Beni|2019-07-22	Beni
BEN24949-INRB-000539|Beni|2019-07-23	Beni
BEN25183-INRB-000535|Beni|2019-07-24	Beni
BEN25184-INRB-000536|Beni|2019-07-24	Beni
BEN25388-INRB-009289|Beni|2019-07-25	Beni
BEN25507-INRB-000547|Beni|2019-07-25	Beni
BEN26335-INRB-000571|Beni|2019-07-30	Beni
BEN26786-INRB-002266|Beni|2019-08-02	Beni
BEN26831-INRB-000896|Beni|2019-08-02	Beni
BEN27011-INRB-000576|Beni|2019-08-03	Beni
BEN27081-INRB-000849|Beni|2019-08-03	Beni
