# BEAST v1.10.0 Prerelease #VEME2017
# Generated Sun Aug 27 13:41:57 BST 2017 [seed=1503837701188]
# -window -working -options
state	posterior	prior	likelihood	p1.treeModel.rootHeight	p2.treeModel.rootHeight	p1.age(root)	p2.age(root)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	p1.clock.rate	p2.clock.rate	p1.meanRate	p2.meanRate	p1.p1.treeLikelihood	p2.p2.treeLikelihood	p1.branchRates	p2.branchRates	p1.coalescent	p2.coalescent
18000	-17933.419369374984	-655.6973948332104	-17277.721974541775	92.41282664059864	101.32330371014623	1916.5871733594013	1907.6766962898537	38.451601829358175	9.192867990142062	0.22676001962826398	0.2745482216112869	0.21177421930388404	0.28691753945656534	0.004263093690021949	0.0034549138881032563	0.0042630936900219475	0.003454913888103254	-8816.36113918827	-8461.360835353507	0.0	0.0	-321.844763703899	-333.98521830334903
19000	-17346.424560086823	-675.7114996895871	-16670.713060397236	87.75322513448828	100.07511595170585	1921.2467748655117	1908.9248840482942	45.415357912112306	9.192867990142062	0.21944209833698608	0.2635969599706382	0.213670238530565	0.303290703161811	0.003878668818223691	0.0028933306962663496	0.003878668818223691	0.0028933306962663505	-8601.747212288743	-8068.9658481084925	0.0	0.0	-329.3150241944384	-346.9103302548482
20000	-17170.211616006945	-703.085768709712	-16467.125847297233	99.51929415629662	109.26956152277198	1909.4807058437034	1899.730438477228	51.964258179249086	10.761180123843658	0.213535181599368	0.25845454443239485	0.21194940047185976	0.31606087349637774	0.003408953136594954	0.002787957785899566	0.0034089531365949547	0.0027879577858995644	-8522.280006549483	-7944.845840747748	0.0	0.0	-343.21651295564027	-360.00192149171073
21000	-16934.61753021149	-711.8795387682442	-16222.737991443246	93.47665312413301	106.880095216853	1915.523346875867	1902.119904783147	56.079147801700735	9.633750972106782	0.21766367818030397	0.25432604785145885	0.22148366214568507	0.3065266118225524	0.0031339539484583796	0.002607604470053231	0.0031339539484583805	0.002607604470053229	-8389.952136529422	-7832.785854913824	0.0	0.0	-347.3059224919877	-365.1550611939133
22000	-16616.55956310834	-727.5295754632143	-15889.029987645126	107.92357967764443	118.69329710929668	1901.0764203223555	1890.3067028907033	64.0224183864624	10.067861859639422	0.2050917795248739	0.26422495964607134	0.22531394429690738	0.30536931653214766	0.0029289172836384765	0.0022940743283992784	0.0029289172836384765	0.00229407432839928	-8201.00481392587	-7688.025173719256	0.0	0.0	-359.01084949673975	-369.1573176835283
23000	-16307.612040691545	-734.2280902223742	-15573.383950469171	105.06456542465213	108.55684429985328	1903.935434575348	1900.4431557001467	64.09490164335584	10.067861859639422	0.21266778719512325	0.26165841531018463	0.2381697336409137	0.28750406385377875	0.0026881424392620804	0.0022951799137743674	0.0026881424392620813	0.002295179913774368	-7971.354475675869	-7602.029474793301	0.0	0.0	-360.2375640451045	-374.84630246121355
24000	-15756.330585714435	-756.6196606679011	-14999.710925046535	101.9306337716695	114.63361156764677	1907.0693662283304	1894.3663884323532	83.99113598005685	11.013932166102782	0.21021775810401128	0.2683849575908723	0.23389322045133804	0.28750406385377875	0.002157679486025818	0.0020477542672099175	0.002157679486025818	0.002047754267209918	-7650.569771843786	-7349.141153202749	0.0	0.0	-378.02831481610036	-379.5400007702214
25000	-15386.199484400304	-769.043889792453	-14617.155594607852	101.69864951803189	115.84090965953385	1907.301350481968	1893.1590903404663	87.38962777872237	10.669976099970267	0.2050549780139455	0.2757322341041553	0.23249635038868635	0.2867164374932132	0.001980053693308665	0.0019307789901975988	0.001980053693308665	0.0019307789901975981	-7514.569260759787	-7102.586333848066	0.0	0.0	-383.5794080183671	-386.6415971439956
26000	-15096.76791880921	-773.9835932387173	-14322.784325570492	102.04434372041251	111.27580743273218	1906.9556562795874	1897.724192567268	81.83341334588	10.958579905912915	0.21011543179645573	0.2757322341041553	0.22490979234921082	0.2892425417501785	0.001980053693308665	0.0017173970558671309	0.001980053693308666	0.0017173970558671306	-7258.063397681062	-7064.72092788943	0.0	0.0	-380.89406418477455	-394.5436293568982
27000	-14948.948651255829	-779.8990675952256	-14169.049583660602	111.26152629718923	112.41794932774155	1897.7384737028108	1896.5820506722584	90.15762692604117	11.443044302547491	0.21643427469955645	0.26180992099995165	0.21513527791682546	0.3066205263836668	0.001973910742593239	0.0016213110393785348	0.0019739107425932384	0.0016213110393785352	-7136.721370328271	-7032.328213332331	0.0	0.0	-377.9588374467737	-403.27897012652863
28000	-14772.949463508392	-792.8538738695809	-13980.095589638811	129.67696797097855	115.78029001229052	1879.3230320290215	1893.2197099877094	107.76115061986386	11.443044302547491	0.22116555038549696	0.26133063952314395	0.21566367439868062	0.30184013569267887	0.0016462573694803573	0.001484154194516855	0.001646257369480359	0.001484154194516855	-6948.4567994239505	-7031.638790214862	0.0	0.0	-390.0150947053621	-404.44341626763656
29000	-14603.214981061168	-799.8323395223481	-13803.38264153882	132.42332926204034	125.72098667102316	1876.5766707379596	1883.2790133289768	124.60157580541646	11.443044302547491	0.2277221440401621	0.262518030780164	0.21022878555271235	0.2995310396269619	0.0016122386636656218	0.0014762415514439895	0.0016122386636656225	0.001476241551443989	-6876.587956501797	-6926.794685037023	0.0	0.0	-395.63364262002017	-405.5924517896117
30000	-14536.397701008947	-810.8686945991193	-13725.529006409828	145.05565451581708	125.58776154035677	1863.944345484183	1883.4122384596433	123.13955831862401	9.536639392261037	0.23038324189185383	0.2655065068599546	0.2103033850160261	0.2938068662321659	0.0014190342872319056	0.0014600700238432845	0.0014190342872319056	0.0014600700238432834	-6818.125008030421	-6907.403998379407	0.0	0.0	-405.4575808369429	-407.3427142790382
31000	-14446.38454732277	-820.2333556506433	-13626.151191672127	166.2373992981828	140.38387529540972	1842.7626007018173	1868.6161247045902	147.19455637813797	10.584703777560936	0.21592910055398273	0.2780072907906528	0.21830070846974942	0.28776290018561546	0.0012980772125512313	0.0013783399725671216	0.0012980772125512322	0.0013783399725671222	-6757.156005980223	-6868.995185691903	0.0	0.0	-413.45905702527904	-408.49438975777
32000	-14327.320975485209	-835.1997086137765	-13492.121266871432	180.18437680074186	152.16154336803203	1828.8156231992582	1856.838456631968	144.84936793093152	10.437461891684789	0.21831212511268083	0.2744379493300725	0.21948702537163162	0.28776290018561546	0.0011550425332853107	0.0012021240771435712	0.0011550425332853117	0.0012021240771435714	-6717.490755800502	-6774.630511070931	0.0	0.0	-416.6932024530471	-420.6467765224936
33000	-14273.001411493335	-844.1216246827421	-13428.879786810592	176.04851706067592	157.41886766203655	1832.951482939324	1851.5811323379635	163.17208415242567	10.693709494328319	0.22263094206914016	0.263899888881129	0.2271899634186549	0.28627920563107634	0.001144227921126082	0.0011369954791762315	0.001144227921126082	0.001136995479176231	-6696.214825633	-6732.664961177592	0.0	0.0	-420.5370218706523	-425.60073308609185
