# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
50000	-0.38705211633494263	0.4276784771814441	0.7596809133656124	0.4462233456498508	-0.20498702516815168	1.3697600417320372	1.0	1.0	0.0	0.0	0.0	0.0	-0.38705211633494263	0.4276784771814441	0.0	0.0	-0.0	0.0
100000	-0.4526659695661338	-2.0167109828176564	-3.2260292875278775	0.6575334120687673	1.775621442349334	-1.4202727408081746	1.0	0.0	0.0	0.0	0.0	0.0	-0.4526659695661338	-0.0	-0.0	0.0	0.0	-0.0
150000	-0.49269699823750945	-3.397099475812965	1.14933924408196	1.8631821170476928	0.767000215741638	3.2037877704405537	1.0	0.0	0.0	0.0	0.0	0.0	-0.49269699823750945	-0.0	0.0	0.0	0.0	0.0
200000	-0.6720836135816559	0.5495448555845919	-0.14789385534234611	-0.33691218763133846	0.7241136413726817	1.7477056415320351	1.0	1.0	0.0	0.0	0.0	0.0	-0.6720836135816559	0.5495448555845919	-0.0	-0.0	0.0	0.0
250000	-0.5463392724614003	0.485544373864706	3.1684163254353837	4.103630056677768	1.0600376349973601	-1.8697545238134632	1.0	1.0	0.0	0.0	0.0	0.0	-0.5463392724614003	0.485544373864706	0.0	0.0	0.0	-0.0
300000	-0.6475423490128451	0.39066297137530204	2.303222107479684	1.3420088368283853	-0.008234754230477006	-2.0653727592275706	1.0	1.0	0.0	0.0	0.0	0.0	-0.6475423490128451	0.39066297137530204	0.0	0.0	-0.0	-0.0
350000	-0.5604796961516636	0.5215341964023714	-2.264999540626666	-0.5665586683860941	4.5367551380774	0.8866957358820167	1.0	1.0	0.0	0.0	0.0	0.0	-0.5604796961516636	0.5215341964023714	-0.0	-0.0	0.0	0.0
400000	-0.6019247617411827	0.7211510481645451	1.703630772053527	1.5375544316027727	-0.6315196766701947	1.0344956912236685	1.0	1.0	0.0	0.0	0.0	0.0	-0.6019247617411827	0.7211510481645451	0.0	0.0	-0.0	0.0
450000	-0.717524113548797	1.1373381093375519	0.8950723276002798	3.468686628845274	0.23629732499662504	-1.4276938056329878	1.0	1.0	0.0	0.0	0.0	0.0	-0.717524113548797	1.1373381093375519	0.0	0.0	0.0	-0.0
