# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:49 CEST 2017 [seed=1502886884603]
# -beagle_SSE batRABV_8Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefficients7	host.coefficients8	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefIndicators7	host.coefIndicators8	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6	host.coefficientsTimesIndicators7	host.coefficientsTimesIndicators8
500000	-0.6817894142448024	0.7510441132117114	-1.9210642565208307	1.3935341513996689	-2.7226188216359124	-0.7854443098778923	0.637953045816594	0.5601068549107873	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6817894142448024	0.0	-0.0	0.0	-0.0	-0.0	0.637953045816594	0.5601068549107873
550000	-0.6207619645581819	0.3258689518880813	-4.629196957875357	-0.34467738266339765	-0.5750172944499115	-0.908859310492869	0.8972194497656881	0.2935276492129084	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6207619645581819	0.0	-0.0	-0.0	-0.0	-0.0	0.8972194497656881	0.2935276492129084
600000	-0.6271193181883453	-1.5260293977398554	0.5101065011953766	2.713896443063296	-0.5673715224916016	1.6966564950775964	0.5194735876297343	0.39232745515527806	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6271193181883453	-0.0	0.0	0.0	-0.0	0.0	0.5194735876297343	0.39232745515527806
650000	-0.6303403812627572	1.916884867358164	-3.931751953548585	0.7114837609993441	-0.3468878707533063	-3.4124671719625628	0.6726474650497661	0.571642981765867	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	-0.6303403812627572	0.0	-0.0	0.0	-0.0	-0.0	0.6726474650497661	0.571642981765867
700000	-0.6524557834376792	1.103000470507715	-1.3879149978111394	-0.5099058402967966	-2.0513801777786793	0.3890584226736452	0.5347584842957052	1.4255982954052822	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6524557834376792	0.0	-0.0	-0.0	-0.0	0.0	0.5347584842957052	0.0
750000	-0.5910859547119174	-2.7146368208878173	-0.28961058889844143	1.08109256403548	-0.15259670265222045	-1.5926050368013014	0.6713048225303667	2.124363237482004	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.5910859547119174	-0.0	-0.0	0.0	-0.0	-0.0	0.6713048225303667	0.0
800000	-0.8464411797645752	0.8617610700302171	0.8835719338460017	-2.876762059569117	0.6587295888390612	-0.32655273650056765	0.9039286748037705	-1.3949628028666317	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.8464411797645752	0.8617610700302171	0.0	-0.0	0.0	-0.0	0.9039286748037705	-0.0
850000	-0.7896655388434479	0.8798496881443589	-2.529036900249704	1.59363782720918	2.692872382719043	-0.6054248697002792	0.2543562466106669	0.8630918601069951	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7896655388434479	0.8798496881443589	-0.0	0.0	0.0	-0.0	0.2543562466106669	0.0
900000	-0.7012368224514555	-0.6667278484242917	-0.4429384521696375	-0.13433271147871173	3.155746312741756	-0.04908850464496581	0.7262670494964398	0.5186153628183878	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	-0.7012368224514555	-0.0	-0.4429384521696375	-0.0	0.0	-0.0	0.7262670494964398	0.5186153628183878
950000	-0.7454778538366391	-1.906654578569646	2.93372595473954	-1.900302731077505	-0.7137158618868528	-3.4644865141990215	0.721787372851661	1.3875862419287452	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.7454778538366391	-0.0	0.0	-0.0	-0.0	-0.0	0.721787372851661	0.0
